,Phrase
1663,gaand ka khadda
1665,gaand ka pilla
1666,gaand ke dhakan
1667,gaand ki aulaad
1668,gaand maar bhen chod
1669,gaand maarna
1677,gaand mein kida
1683,gand mein danda
1684,gand mein louda
1685,gandi chut mein sadta hua ganda kida
1686,gandi fuddi ki gandi auladd
1687,gandkate kutte
1688,gandmare
1689,gandmasti
1691,gandu saala
1692,gandue
1699,ghondoo
1700,gote
1701,gote kitne bhi bade ho lund ke niche hi rehte hai
1702,goti muh mein hai
1703,gundmaraa
1704,gundmari
1705,hamari le rahe hai
1706,haraam ka chuda
1707,haraam ki chudi
1710,haraamjaada
1711,haraamjaadi
1713,haram zaadaa
1715,harami ke pille
1716,haramkhor
1717,haramzaada
1719,harazyaada
1720,havas
1721,hazaar lund teri gaand main
1725,hrami
1726,hugna
1727,hugnaa
1728,jab tu paida hua tho aagey se ya peechey se nikla tha chutiya
1729,jab tu paida hua tow aagey se ya peechey se nikla tha chutiya
1730,janam jala
1731,janam jali
1733,janwar
1736,jhaant ke jhature
1742,jhaat ke baal
1743,jhaatoon saala
1745,jhad jaana
1746,jhandu
1751,jhat lahergaya
1753,jhund
1754,joo ke hagge
1755,kaala lund
1756,kaali kutti
1758,kahe ko kha raha hai chut ki chapati aur lund ka beja?
1763,kaminee
1771,khujju
1773,kukarchod
1775,kutha
1776,kutha sala
1777,kuthi
1778,kuthri
1779,kuthta buraanahe kandaa nahi pattaahe
1782,kutiyaa
1787,kutte ka bachha
1790,kutte ke aulaad
1796,kutte ki olad
1802,land ka bheja
1804,landue
1805,landure
1807,laudap
1809,laude ke baal
1810,laude sale
1813,lavde ka baal
1817,lawde
1818,lo mera lund anpi behen ko de do agar khud na chod paya
1819,lo mera lund apni behen ko de do agar khud na chod paya
1821,lode jesi shakal ke
1822,lode ke baal
1823,lodey jaise shakal teri
1825,loduu
1827,lowde ka bal
1831,lund chuse
1834,lund fekh ke maroonga toh tera poora khandan chud jayega chutmarike
1835,lund k laddu
1836,lund ka baal
1841,lund luhnd
1842,lund mera muh tera
1845,lund phek ke marenge khandan chud jayega
1846,lundfakir
1850,maa ka lauda
1860,maachodh
1861,maadar chowd
1864,maakelaude
1866,maal chhodna
1867,maarey hue chipkili ki unday
1869,machodh
1871,madar jaat
1873,madarchod ke aulaad
1875,madarjat
1879,mahder chod
1880,mahderchod
1881,mai chod
1882,maichod
1883,mamme
1884,mammey mummaye
1888,mein teri maa ko liya tha uski suhaag raat pei
1889,mein teri maa ko teri bahen ki choot mein chodoonga aur tera baap laltern lekar aayega
1890,mein teri maa ko teri bhen ki choot mein chodoonga aur tera baap laltern lekar aayega
1891,mera chunni choos
1892,mera ganna mere dil se bada hai
